"REF_DATE","GEO","DGUID","Household income","Energy type","Energy consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","$150,000 and more","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904617","1.7.1.2","134.1","","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Total, all energy types","Number of households","Number","223","units","0","v101904618","1.7.1.4","1289138","","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Electricity","Gigajoules","Gigajoules","143","units","0","v101904619","1.7.2.1","65552475","","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904620","1.7.2.2","50.8","","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Electricity","Proportion of total energy","Percent","239","units","0","v101904621","1.7.2.3","37.9","","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Electricity","Number of households","Number","223","units","0","v101904622","1.7.2.4","1289138","","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904623","1.7.3.1","103332203","","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904624","1.7.3.2","107.2","","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Natural gas","Proportion of total energy","Percent","239","units","0","v101904625","1.7.3.3","59.8","","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Natural gas","Number of households","Number","223","units","0","v101904626","1.7.3.4","963951","","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904627","1.7.4.1","3941672","E","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904628","1.7.4.2","70.0","","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Heating oil","Proportion of total energy","Percent","239","units","0","v101904629","1.7.4.3","2.3","E","","","1"
"2011","Canada","2016A000011124","$150,000 and more","Heating oil","Number of households","Number","223","units","0","v101904630","1.7.4.4","56296","","","","0"
"2011","Canada","2016A000011124","Income not stated","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904631","1.8.1.1","253496229","","","","0"
"2011","Canada","2016A000011124","Income not stated","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904632","1.8.1.2","96.9","","","","1"
"2011","Canada","2016A000011124","Income not stated","Total, all energy types","Number of households","Number","223","units","0","v101904633","1.8.1.4","2614989","","","","0"
"2011","Canada","2016A000011124","Income not stated","Electricity","Gigajoules","Gigajoules","143","units","0","v101904634","1.8.2.1","101056531","","","","0"
"2011","Canada","2016A000011124","Income not stated","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904635","1.8.2.2","38.6","","","","1"
